payment_id,invoice_id,amount,payment_method,payment_date
1,1,45.00,"Credit Card","2025-03-01 11:00:00"
2,2,40.00,PayPal,"2025-03-02 12:00:00"
3,3,60.25,"Credit Card","2025-03-03 10:00:00"
4,4,60.00,"Bank Transfer","2025-03-04 15:00:00"
5,5,90.00,Cash,"2025-03-05 09:00:00"
6,6,50.75,"Credit Card","2025-03-06 14:00:00"
7,7,80.00,PayPal,"2025-03-07 12:30:00"
8,8,55.50,Cash,"2025-03-08 16:00:00"
9,9,100.00,"Bank Transfer","2025-03-09 11:00:00"
10,10,65.25,"Credit Card","2025-03-10 10:30:00"
11,11,85.00,Cash,"2025-03-11 12:00:00"
12,12,95.50,PayPal,"2025-03-12 15:00:00"
13,13,70.00,"Credit Card","2025-03-13 16:30:00"
14,14,65.00,"Bank Transfer","2025-03-14 11:00:00"
15,15,55.75,Cash,"2025-03-15 09:30:00"
16,16,75.00,"Credit Card","2025-03-16 14:00:00"
17,17,65.25,PayPal,"2025-03-17 10:15:00"
18,18,105.00,"Bank Transfer","2025-03-18 16:00:00"
19,19,95.50,"Credit Card","2025-03-19 11:30:00"
20,20,85.00,Cash,"2025-03-20 10:20:00"
21,21,90.25,"Credit Card","2025-03-21 14:30:00"
22,22,115.00,PayPal,"2025-03-22 11:00:00"
23,23,70.50,"Bank Transfer","2025-03-23 12:45:00"
24,24,80.00,"Credit Card","2025-03-24 16:30:00"
25,25,65.75,Cash,"2025-03-25 11:15:00"
26,26,100.00,"Credit Card","2025-03-26 12:00:00"
27,27,55.25,PayPal,"2025-03-27 13:45:00"
28,28,120.50,"Bank Transfer","2025-03-28 16:00:00"
29,29,95.00,"Credit Card","2025-03-29 10:00:00"
30,30,85.75,Cash,"2025-03-30 15:00:00"
